segment,env_step,gradient_step,elapsed_s,eval_seconds,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
0,44200,2450,697.658,15.346,85.384766,74.110931,0.545677,0.021285,5.779514,5.779514,5.779514,5.779514,0.018037,0.002538,1.408897,8.360048,0.1748,-8.347905,1.0,0.957458,1.781566,0.912199,1.086999,0.1748,15360.0,3.863135,0.912017,1.632959,0.720941,1008.0,14706.552734,1024.0,1024.0,160.830017,44200,64.0,1999.3
0,45000,2500,711.499,15.346,79.147095,67.481163,0.543953,0.021065,6.05461,6.05461,6.05461,6.05461,0.018363,0.002181,1.436014,8.362942,0.177381,-8.359595,1.0,0.96041,1.842924,0.931991,1.109372,0.177381,15360.0,3.873006,0.93188,1.6417,0.709821,1008.0,14751.896484,1024.0,1024.0,102.69648,45000,64.0,1999.3
0,45800,2550,725.212,15.346,83.207458,71.517853,0.568446,0.02143,5.985765,5.985765,5.985765,5.985765,0.019195,0.002729,1.425258,8.362805,0.176269,-8.369487,1.0,0.956574,1.869552,0.952662,1.128931,0.176269,15360.0,4.068608,0.95248,1.709838,0.757359,1008.0,14692.981445,1024.0,1024.0,106.214577,45800,64.0,1999.3
0,46600,2600,738.97,15.346,84.149864,72.222527,0.600939,0.021285,6.119442,6.119442,6.119442,6.119442,0.023174,0.002519,1.42963,8.36272,0.177321,-8.341768,1.0,0.958743,1.905199,0.974523,1.151844,0.177321,15360.0,4.129638,0.973945,1.74388,0.769934,1008.0,14726.285156,1024.0,1024.0,114.163612,46600,64.0,1999.3
0,47400,2650,752.815,15.346,84.055031,72.380211,0.513084,0.021023,5.997009,5.997009,5.997009,5.997009,0.014006,0.002023,1.452577,8.3648,0.179653,-8.340309,1.0,0.962101,1.9374,0.997593,1.177246,0.179653,15360.0,3.846744,0.997598,1.662761,0.665163,1008.0,14777.875,1024.0,1024.0,127.897728,47400,64.0,1999.3
0,48200,2700,766.528,15.346,79.172882,67.475967,0.497167,0.021043,6.028776,6.028776,6.028776,6.028776,0.014235,0.002029,1.45185,8.365213,0.178382,-8.381084,1.0,0.961825,1.94807,1.021125,1.199507,0.178382,15360.0,3.823766,1.020903,1.673863,0.652961,1008.0,14773.625,1024.0,1024.0,93.034546,48200,64.0,1999.3
0,49000,2750,780.354,15.346,79.072067,66.915184,0.522401,0.020794,6.345225,6.345225,6.345225,6.345225,0.0169,0.001484,1.471278,8.36819,0.180366,-8.373685,1.0,0.965649,1.966494,1.045204,1.22557,0.180366,15360.0,3.987257,1.044935,1.746047,0.701112,1008.0,14832.365234,1024.0,1024.0,105.898842,49000,64.0,1999.3
0,49800,2800,794.078,15.346,74.880272,62.842262,0.514628,0.020687,6.255777,6.255777,6.255777,6.255777,0.015396,0.001194,1.477049,8.36906,0.18061,-8.378919,1.0,0.967625,1.965529,1.069368,1.249978,0.18061,15360.0,3.929188,1.069213,1.762634,0.693421,1008.0,14862.716797,1024.0,1024.0,72.45932,49800,64.0,1999.3
0,50600,2850,824.131,30.627,80.270844,68.168625,0.54468,0.021112,6.377594,6.377594,6.377594,6.377594,0.016677,0.001988,1.417427,8.369692,0.1746,-8.370737,1.0,0.962273,1.917029,1.092951,1.267551,0.1746,15360.0,3.9554,1.092682,1.802377,0.709695,1008.0,14780.505859,1024.0,1024.0,87.414146,50600,64.0,1999.3
0,51400,2900,837.925,30.627,82.186211,69.920059,0.520285,0.020817,6.574656,6.574656,6.574656,6.574656,0.016754,0.00144,1.442412,8.371075,0.177725,-8.341818,1.0,0.96579,1.908174,1.116611,1.294336,0.177725,15360.0,3.807808,1.116497,1.80075,0.684253,1008.0,14834.533203,1024.0,1024.0,179.838226,51400,64.0,1999.3
