env_step,gradient_step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,reward_mae,cont_mae,policy,policy_entropy,policy_adv_mag,policy_logp_mean,policy_retnorm_scale,policy_weight_mean,value,value_value_mean,value_target_mean,value_value_mae,value_positions,repval,repval_value_mean,repval_target_mean,repval_value_mae,repval_positions,weight_sum,imagination_starts,train_positions,grad_norm,replay_occupancy,realized_train_ratio,peak_vram_mib
43400,2400,835.021,15.135677,9.245611,0.595327,0.020731,1.528571,1.528571,1.48403,1.48403,0.036105,0.0012,0.342987,1.381752,0.25407,-1.383427,1.0,0.967182,2.056198,1.217543,1.471613,0.25407,15360.0,3.977986,1.217555,2.106693,0.889138,1008.0,14855.912109,1024.0,1024.0,26.686924,43400,64.0,1997.2
44200,2450,851.734,16.885172,10.791825,0.679442,0.02085,1.619728,1.619728,1.581225,1.581225,0.045718,0.001509,0.344011,1.381511,0.255892,-1.381241,1.0,0.965308,2.044923,1.25008,1.505972,0.255892,15360.0,4.074733,1.250039,2.305954,1.055915,1008.0,14827.129883,1024.0,1024.0,25.929274,44200,64.0,1997.2
45000,2500,868.407,16.286615,10.058075,0.69145,0.020943,1.699213,1.699213,1.693019,1.693019,0.042799,0.001751,0.342253,1.38155,0.253849,-1.386614,1.0,0.963661,2.104396,1.286042,1.539891,0.253849,15360.0,4.001218,1.286042,2.266866,0.980824,1008.0,14801.839844,1024.0,1024.0,41.646023,45000,64.0,1997.2
45800,2550,885.126,16.030642,8.885143,0.760134,0.020692,2.234513,2.234513,2.233096,2.233096,0.048049,0.001152,0.348847,1.383287,0.259921,-1.378682,1.0,0.967995,2.195047,1.324389,1.584309,0.259921,15360.0,4.542714,1.324354,2.58655,1.262195,1008.0,14868.407227,1024.0,1024.0,31.472734,45800,64.0,1997.2
46600,2600,902.182,15.365808,9.101658,0.645398,0.020832,1.664296,1.664296,1.636136,1.636136,0.04157,0.001579,0.346859,1.381469,0.257197,-1.389146,1.0,0.964044,2.216895,1.363564,1.620761,0.257197,15360.0,4.011469,1.363543,2.301464,0.937922,1008.0,14807.720703,1024.0,1024.0,27.653704,46600,64.0,1997.2
47400,2650,919.234,14.442629,8.257178,0.735991,0.020743,1.405975,1.405975,1.324343,1.324343,0.047105,0.001156,0.348424,1.382969,0.260133,-1.373899,1.0,0.967787,2.248723,1.404076,1.664209,0.260133,15360.0,4.283326,1.404051,2.527006,1.122956,1008.0,14865.210938,1024.0,1024.0,31.304089,47400,64.0,1997.2
48200,2700,936.264,15.923664,9.245999,0.632972,0.020947,2.075426,2.075426,2.061823,2.061823,0.043363,0.0017,0.33431,1.381397,0.249493,-1.383931,1.0,0.964157,2.193117,1.443694,1.693187,0.249493,15360.0,4.044505,1.443611,2.416025,0.972414,1008.0,14809.456055,1024.0,1024.0,19.798189,48200,64.0,1997.2
49000,2750,953.407,15.145481,8.094704,0.879137,0.020689,2.068484,2.068484,2.066946,2.066946,0.059561,0.001112,0.34015,1.378718,0.25336,-1.380951,1.0,0.968133,2.167582,1.482895,1.736255,0.25336,15360.0,4.559625,1.482885,2.803608,1.320723,1008.0,14870.52832,1024.0,1024.0,25.467081,49000,64.0,1997.2
49800,2800,970.449,16.448494,10.347465,0.542038,0.02083,1.819113,1.819113,1.795791,1.795791,0.033744,0.001508,0.342193,1.375936,0.256368,-1.374671,1.0,0.96589,2.100914,1.522108,1.778476,0.256368,15360.0,3.646763,1.522045,2.322523,0.800479,1008.0,14836.064453,1024.0,1024.0,29.768305,49800,64.0,1997.2
50600,2850,1004.607,15.387533,9.397586,0.603912,0.020845,1.6805,1.6805,1.63525,1.63525,0.033342,0.001466,0.344161,1.380768,0.254819,-1.389476,1.0,0.965845,1.997053,1.559971,1.81479,0.254819,15360.0,3.91809,1.559901,2.504194,0.944293,1008.0,14835.380859,1024.0,1024.0,25.016407,50600,64.0,1997.2
