step,elapsed_s,total,rec,rew,con,dyn,rep,dyn_raw,rep_raw,post_entropy,prior_entropy,reward_mae,cont_mae,grad_norm
2375,518.006,79.876427,73.734634,0.638715,0.022188,4.982631,4.982631,4.982631,4.982631,31.068333,36.476555,0.023346,0.003973,114.554985
2400,523.468,80.170464,74.206589,0.484548,0.021687,4.961491,4.961491,4.961491,4.961491,30.805077,36.267273,0.011706,0.003408,101.149765
2425,528.844,75.195435,68.759361,0.508977,0.021572,5.368656,5.368656,5.368656,5.368656,30.680487,36.355827,0.013688,0.003197,124.871674
2450,534.218,73.457123,67.288925,0.50097,0.021523,5.13246,5.13246,5.13246,5.13246,30.626055,36.248516,0.011633,0.003085,83.970047
2475,539.687,74.099274,68.034882,0.484099,0.021523,5.053432,5.053432,5.053432,5.053432,30.499182,36.121902,0.012167,0.00303,183.781998
2500,545.06,74.960045,68.715042,0.496959,0.02123,5.206195,5.206195,5.206195,5.206195,30.619627,36.253281,0.014727,0.002551,74.776405
2525,550.413,77.443687,71.396988,0.516438,0.021876,5.007628,5.007628,5.007628,5.007628,30.505146,36.293365,0.015012,0.003457,113.413902
2550,555.856,72.875656,66.509537,0.494042,0.02149,5.318716,5.318716,5.318716,5.318716,30.530575,36.232395,0.012745,0.002881,88.943481
2575,561.214,69.822189,63.794975,0.478471,0.021417,5.024843,5.024843,5.024843,5.024843,30.400589,36.117722,0.013645,0.002827,105.73761
2600,566.58,74.54277,68.200699,0.513291,0.02113,5.279686,5.279686,5.279686,5.279686,30.304621,36.160931,0.014848,0.002265,107.821754
2625,571.948,73.753838,67.205833,0.527888,0.021252,5.453518,5.453518,5.453518,5.453518,30.143656,36.386635,0.016378,0.002474,93.05043
2650,577.313,70.400093,63.810188,0.484768,0.021275,5.530782,5.530782,5.530782,5.530782,30.377325,36.166779,0.011144,0.002487,97.771439
2675,582.777,68.895905,62.44875,0.501437,0.020889,5.386209,5.386209,5.386209,5.386209,30.176216,36.081032,0.013348,0.001799,148.959061
2700,588.157,74.175095,67.764359,0.490868,0.021188,5.362437,5.362437,5.362437,5.362437,30.410557,36.277763,0.013438,0.002385,112.956848
2725,593.546,69.235252,62.740311,0.484196,0.020976,5.445244,5.445244,5.445244,5.445244,30.278923,36.054619,0.011963,0.001977,105.801758
2750,599.009,69.484589,62.808807,0.482431,0.021041,5.611191,5.611191,5.611191,5.611191,30.331869,36.154129,0.013012,0.002124,108.368134
2775,604.39,74.093521,67.53157,0.517706,0.021038,5.475645,5.475645,5.475645,5.475645,30.185633,36.087585,0.015186,0.002041,151.006775
2800,609.763,74.711365,68.087097,0.486285,0.021285,5.560637,5.560637,5.560637,5.560637,30.153526,36.207901,0.012264,0.002417,138.379044
2825,615.221,69.929672,63.205139,0.499913,0.020984,5.63967,5.63967,5.63967,5.63967,30.317659,36.107189,0.013646,0.00191,112.105202
2850,620.594,65.775558,59.075661,0.477073,0.0208,5.638206,5.638206,5.638206,5.638206,30.070793,35.905029,0.01251,0.001564,117.7192
